company,scope,key,original_value,corrected_value,status,evidence
itc,standalone,Total Power & Fuel Expenses,942.47,942.47,verified_ok,
itc,consolidated,Total Power & Fuel Expenses,975.35,975.35,verified_ok,
itc,standalone,Consumption Of Stores And Spare Parts,390.49,390.49,verified_ok,
itc,consolidated,Consumption Of Stores And Spare Parts,397.38,397.38,verified_ok,
itc,standalone,Brokerage/Commission To Agents,Not disclosed,61.01,CORRECTED,p200 'Commission to selling agents etc. 61.01'
itc,consolidated,Brokerage/Commission To Agents,Not disclosed,56.66,CORRECTED,p297 'Commission to selling agents etc. 56.66'
itc,standalone,Carriage Outwards,1891.85,1891.85,verified_ok,
itc,consolidated,Carriage Outwards,1928.59,1928.59,verified_ok,
itc,standalone,Legal & Professional Charges,223.10,223.10,verified_ok,
itc,consolidated,Legal & Professional Charges,723.81,723.81,verified_ok,
itc,standalone,Payments To Auditor,7.43,7.43,verified_ok,
itc,consolidated,Payments To Auditor,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Payment for reimbursement of expenses,0.26,0.26,verified_ok,
itc,consolidated,Payment for reimbursement of expenses,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Donations Subscriptions,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Donations Subscriptions,Not disclosed,Not disclosed,verified_ok,
itc,standalone,CSR Expenditure,443.68,443.68,verified_ok,
itc,consolidated,CSR Expenditure,475.33,475.33,verified_ok,
itc,standalone,Impairment loss on financial assets loans and advances,Not disclosed,1.87,CORRECTED,"p162(pr.141): CF 'Doubtful and bad advances, loans and deposits 1.87'"
itc,consolidated,Impairment loss on financial assets loans and advances,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Provision Bad Doubtful Loans Advances,Not disclosed,1.87,CORRECTED,"p162 'Doubtful and bad advances, loans and deposits 1.87'"
itc,consolidated,Provision Bad Doubtful Loans Advances,Not disclosed,1.95,CORRECTED,"p256 Consolidated Statement of Cash Flows 'Doubtful and bad advances, loans and deposits 1.95'"
itc,standalone,Bad Debts Advances Written Off,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Bad Debts Advances Written Off,Not disclosed,Not disclosed,verified_ok,
itc,standalone,Interest Expense Borrowings,Not disclosed,Not disclosed,verified_ok,
itc,consolidated,Interest Expense Borrowings,Not disclosed,Not disclosed,verified_ok,
itc,standalone,"Total Changes In Inventories Of Finished Goods, Work-In-Progress And Stock-In-Trade",(640.50),(640.50),verified_ok,
itc,consolidated,"Total Changes In Inventories Of Finished Goods, Work-In-Progress And Stock-In-Trade",(725.65),(725.65),verified_ok,
itc,standalone,Deferred Tax Assets (Net)_Deferred tax liabilities_Accumulated Depreciation,Not disclosed,1501.96,CORRECTED,"p194 deferred-tax note, PP&E/investment-property component closing 1501.96"
itc,consolidated,Deferred Tax Assets (Net)_Deferred tax liabilities_Accumulated Depreciation,1556.24,1556.24,verified_ok,
itc,standalone,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,Not disclosed,93.95,CORRECTED,p194 'On employees separation and retirement etc. ... 93.95'
itc,consolidated,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,Not disclosed,124.47,CORRECTED,p279 'On employees separation and retirement etc. ... 124.47'
